,article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
0,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,e7682e68-ec2e-43c7-b796-3d677a7112b6,ac523cba-8202-4db7-9c19-287e098e9dbc,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},2,1134,1149,The Syrian Army
1,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,e7682e68-ec2e-43c7-b796-3d677a7112b6,ac523cba-8202-4db7-9c19-287e098e9dbc,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},2,1134,1259,"The Syrian Army said that the medical facility was not only used to treat wounded fighters, but served as a movie set as well"
2,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,e7682e68-ec2e-43c7-b796-3d677a7112b6,bbb51fbe-d981-4167-b1d5-88eaaff2cf99,EasyTriage2021_02_18_v4,Quoted Sources,2,,{},2,1261,1269,Damascus
3,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,e7682e68-ec2e-43c7-b796-3d677a7112b6,bbb51fbe-d981-4167-b1d5-88eaaff2cf99,EasyTriage2021_02_18_v4,Quoted Sources,2,,{},2,1261,1431,"Damascus says the makeshift studio is where the infamous Western-backed aid group, the White Helmets, filmed the video of a fake chemical attack in Khan Sheikhoun in 2017"
0,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,dc48478a-2e06-49b2-bb53-263878f4386b,ESTF_HardTriage.IAA,4ae52b09-c43d-4b94-9e53-3371020884c3,Copied from  241 (Elaine B. Kliner) at 2021-04-30T163032,True,bcb3c07a-8009-49be-ad40-467b17ca61dc,9b219775-083d-49d5-80be-effb0db86462,HardTriage2021_03_12,Arguments,1,,{},4,199,418,"The Syrian Army has discovered a huge cave network near the recently liberated city of Khan Sheikhoun, a former terrorist stronghold in Idlib. RT has been given exclusive access to the sophisticated underground fortress"
1,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,dc48478a-2e06-49b2-bb53-263878f4386b,ESTF_HardTriage.IAA,4ae52b09-c43d-4b94-9e53-3371020884c3,Copied from  241 (Elaine B. Kliner) at 2021-04-30T163032,True,bcb3c07a-8009-49be-ad40-467b17ca61dc,9b219775-083d-49d5-80be-effb0db86462,HardTriage2021_03_12,Arguments,1,,{},4,421,782,"Some 3,500 terrorists were holed up in the caves before their defeat in August. They turned their underground shelter, which covered 10,000 square meters, into a stronghold from which they could operate autonomously. Numerous crates with ammunition and weapons, including what appears to be American TOW anti-tank missiles, still remain abandoned in the tunnels"
2,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,dc48478a-2e06-49b2-bb53-263878f4386b,ESTF_HardTriage.IAA,4ae52b09-c43d-4b94-9e53-3371020884c3,Copied from  241 (Elaine B. Kliner) at 2021-04-30T163032,True,bcb3c07a-8009-49be-ad40-467b17ca61dc,9b219775-083d-49d5-80be-effb0db86462,HardTriage2021_03_12,Arguments,1,,{},4,785,945,"Besides the command center and cages for prisoners, the caves also hosted a drone factory that produced UAVs for surveillance missions and the delivery of bombs"
3,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,dc48478a-2e06-49b2-bb53-263878f4386b,ESTF_HardTriage.IAA,4ae52b09-c43d-4b94-9e53-3371020884c3,Copied from  241 (Elaine B. Kliner) at 2021-04-30T163032,True,bcb3c07a-8009-49be-ad40-467b17ca61dc,9b219775-083d-49d5-80be-effb0db86462,HardTriage2021_03_12,Arguments,1,,{},4,1078,1259,"Also among the discoveries was an underground hospital. The Syrian Army said that the medical facility was not only used to treat wounded fighters, but served as a movie set as well"
4,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,dc48478a-2e06-49b2-bb53-263878f4386b,ESTF_HardTriage.IAA,4ae52b09-c43d-4b94-9e53-3371020884c3,Copied from  241 (Elaine B. Kliner) at 2021-04-30T163032,True,bcb3c07a-8009-49be-ad40-467b17ca61dc,1489eb7c-a8cd-49dc-b3fd-5097efd02518,HardTriage2021_03_12,Arguments,2,,{},3,1261,1431,"Damascus says the makeshift studio is where the infamous Western-backed aid group, the White Helmets, filmed the video of a fake chemical attack in Khan Sheikhoun in 2017"
5,ESTF_Articles_3/2021-03-25/RTToursFortifiedCavesIn.txt,530712325,RTToursFortifiedCavesIn.txt,88a3aa0f17b17a80ce04c3a36b7583e9abc2dc88af548ca99d1682b37b10635e,1958,dc48478a-2e06-49b2-bb53-263878f4386b,ESTF_HardTriage.IAA,4ae52b09-c43d-4b94-9e53-3371020884c3,Copied from  241 (Elaine B. Kliner) at 2021-04-30T163032,True,bcb3c07a-8009-49be-ad40-467b17ca61dc,1489eb7c-a8cd-49dc-b3fd-5097efd02518,HardTriage2021_03_12,Arguments,2,,{},3,1434,1635,"Back then, blame for the incident, which has never been definitively settled, was pinned on Damascus, and the White Helmet videos became a pretext for a missile strike on Syria by the US and its allies"
