,article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
0,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,0c3c61e3-da48-4745-ba8c-12d0e135d56e,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},7,232,267,Donetsk People's Republic officials
1,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,0c3c61e3-da48-4745-ba8c-12d0e135d56e,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},7,212,825,"The self-proclaimed Donetsk People's Republic officials say about dozens of Islamist military bands fighting in Donbass for the Ukrainian Army. \n\n""After activation of relations between Kiev and Ankara, the flow of radical islamists to the zone of the so-called anti-terrorist operation (ATO) has increased. According to the information of the DPR intelligence service, about 30 such groups are participating in the military actions today. An international search has been launched to find some of these criminals,"" deputy commander of the DPR Defense Ministry corpus Eduard Basurin said at a briefing on Wednesday"
2,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,0c3c61e3-da48-4745-ba8c-12d0e135d56e,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},7,727,793,deputy commander of the DPR Defense Ministry corpus Eduard Basurin
3,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,0c3c61e3-da48-4745-ba8c-12d0e135d56e,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},7,1074,1463,"Terrorist military bands fighting for Ukrainian regular army are located in Dzerzhinsk, Artyomovsk, Avdeyevka and Shirokino. According to our information, Ukraine also helps ""the Islamic State"" (terrorist organization prohibited in Russia - IF) in order to thank terrorist organizations of Afghanistan, Iraq, Syria, Turkey for their support of punitive operation in Donbass ,"" Basurin said"
4,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,0c3c61e3-da48-4745-ba8c-12d0e135d56e,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},7,1485,1712,"there are camps in Ukraine where terrorists train Ukrainian nationalists to blow up civil objects, to kill peaceful citizens in public places, to penetrate military objects and blow up themselves together with enemy's militants"
5,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,0c3c61e3-da48-4745-ba8c-12d0e135d56e,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},7,1716,2138,"Arab teachers pay special attention to psychology and tactics of terrorist war. Ukrainian authorities shut their eyes for total enrollment of Ukrainian youth for participating in military conflict against governmental troops in Syria and other hot spots. For example, suicide bomber trained in Kharkov recently blew up himself in Jordan. It is not excluded that they commit terrorist acts in Europe,"" the DPR official said"
6,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,0c3c61e3-da48-4745-ba8c-12d0e135d56e,EasyTriage2021_02_18_v4,Quoted Sources,1,,{},7,2142,2316,He noted that the intelligence service more and more often find facts proving that Ukrainian military officials sell weapons from the ATO zone to terrorists in Syria and Iraq
7,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,64a099fe-822e-449b-bc4a-bbacf6eb2906,EasyTriage2021_02_18_v4,Language,1,,{},2,272,284,about dozens
8,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,6bd8f54b-989d-413b-bf94-915a10bf2eeb,Schmidt_EasyTriagev5.IAA,c30390c9-3b05-4f23-84b4-16b3eec019e5,Copied from  241 (Elaine B. Kliner) at 2021-04-07T152457,True,2af4dc89-6bb2-4af3-a357-df771146e61d,64a099fe-822e-449b-bc4a-bbacf6eb2906,EasyTriage2021_02_18_v4,Language,1,,{},2,1984,1998,suicide bomber
0,ESTF_Articles_3/2021-03-25/ISILMilitantsFightForUkranian.txt,530712323,ISILMilitantsFightForUkranian.txt,f771c6d6ee8125df981cfb6f7b27f77b15784fc3d7705b5a2088990d6a393f73,2318,dc48478a-2e06-49b2-bb53-263878f4386b,ESTF_HardTriage.IAA,4ae52b09-c43d-4b94-9e53-3371020884c3,Copied from  241 (Elaine B. Kliner) at 2021-04-30T163032,True,d5e0f258-b31e-440f-9f34-94707b1127a3,5e8c8c8d-8de9-4fb0-bd01-bcd99276f03a,HardTriage2021_03_12,Arguments,1,,{},7,359,825,"After activation of relations between Kiev and Ankara, the flow of radical islamists to the zone of the so-called anti-terrorist operation (ATO) has increased. According to the information of the DPR intelligence service, about 30 such groups are participating in the military actions today. An international search has been launched to find some of these criminals,"" deputy commander of the DPR Defense Ministry corpus Eduard Basurin said at a briefing on Wednesday"
