namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",b4df01c1-12fd-400c-90aa-894f2c609083,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,fe8a2a45-7677-4a29-87f1-e9d2d9f672e0,T1.Q1.A1,"General Causation (In general, X causes Y.)",T1.Q2,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",b4df01c1-12fd-400c-90aa-894f2c609083,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,220251da-4c01-4a36-93e0-23a9f35ed683,T1.Q1.A2,"Singular Causation (In this case, A caused/is causing B)",T1.Q2,1,1,"{""case_numbers"": true, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",b4df01c1-12fd-400c-90aa-894f2c609083,T1.Q1,Is a general or singular causal claim made? Highlight the section(s) that supports your answer.,CHECKBOX,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3,61570807-8e5c-4613-a442-5bcaf6b09ef3,T1.Q1.A3,No causal claim made,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83437dd4-86be-421b-8fc0-4e34e51a2fa1,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,697c4d61-e622-49c9-a325-214e86c64fd8,T1.Q2.A1,Correlation,T1.Q4,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83437dd4-86be-421b-8fc0-4e34e51a2fa1,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,a05fb23e-01d2-41fc-94c3-4e7bbe4a5750,T1.Q2.A2,Cause precedes effect,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83437dd4-86be-421b-8fc0-4e34e51a2fa1,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,2972c6c2-f174-4e55-b6a8-b7934b57078f,T1.Q2.A3,The correlation appears across multiple independent contexts,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83437dd4-86be-421b-8fc0-4e34e51a2fa1,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,2f543d66-6ace-40b2-af90-7a9c2b3faa58,T1.Q2.A4,A plausible mechanism is proposed,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83437dd4-86be-421b-8fc0-4e34e51a2fa1,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,db998abd-fde3-417e-b740-731fe96476d6,T1.Q2.A5,An experimental study was conducted (natural experiments OK),"T1.Q4, T1.Q5",1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83437dd4-86be-421b-8fc0-4e34e51a2fa1,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,ddd21ee2-f079-4708-9136-ae484f65a0b9,T1.Q2.A6,There is a clear dose-response curve,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Evidence2020_09_20,7df0fe017a85c95095d48707da0cef35bbf1af0781e67452ecb894472790ee76,e4b3fb5b-0f29-400f-bf38-9d7fa3e39c4e,Evidence Specialist,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",83437dd4-86be-421b-8fc0-4e34e51a2fa1,T1.Q2,What evidence is given for the primary causal claim? Select all that apply.,CHECKBOX,,"T1.Q7, T1.Q8",nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,6a19ce05-a93f-455b-ba10-9fc13a6a6a84,T1.Q2.A7,Experts are cited,,1,1,"{""case_numbers"": false, ""highlight"": true, ""version"": ""4"", ""require_highlight"": true}"
