namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,17526085-a37e-4a47-b307-ce08cbd0d52c,T1.Q1.A1,News report,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,4578af45-b41f-4248-8ab4-2d9bcbb177eb,T1.Q1.A2,Feature article/In depth analysis,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,e4370c21-9c6d-4458-979b-037fc20650e9,T1.Q1.A3,Opinion piece/Editorial/Op Ed,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,4732d2ff-1657-465a-b516-5e9e6595c13f,T1.Q1.A4,Sponsored content,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,889d94df-e903-4fa1-8829-210a92ac8583,T1.Q1.A5,Letter to the Editor,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,5ff600c1-27f4-4e2c-9d1e-54e4768f8650,T1.Q1.A6,Interview,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,3598bd7f-6572-4dfd-b523-d26c419f87ed,T1.Q1.A7,Hyper-Partisan,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,d3b93de8-27ff-4fbb-a842-fcc894727d71,T1.Q1.A8,Listicle,,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",06b9bda6-6911-472e-a469-6ddd711d6044,T1.Q1,What type of article is this?,RADIO,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",9,d9a4fa35-aa19-41b3-a35e-a43f7026a53e,T1.Q1.A9,Other/Can't tell,T1.Q2,0,1,"{""case_numbers"": false, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
Covid2_Holistic_2020_09_20,ecbc4694fc8c286d80f8c8e9c5e6bfe9be77574f71dd9f3fa981543445ac27ab,e2c2c4be-386f-4892-9aad-38c33004e031,Holistic Evaluation of Article,"{""highlight"": true, ""version"": ""4"", ""hint_type"": """"}",3b251857-2e2d-4ce3-ae28-65ab70f299d1,T1.Q2,You said it was some “Other” type of article. What type of article is it?,TEXT,,,nominal,"{""version"": ""4"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",1,12c9830c-2546-40b8-89ed-91e16cb6df7c,T1.Q2.A1,placeholder answer for TEXT,,0,1,"{""case_numbers"": true, ""highlight"": false, ""version"": ""4"", ""require_highlight"": true}"
